Name,Age,Position,fangraphsId,bbrefId
Joe Kelly,31,RP,9761,kellyjo05
Jordan Lyles,28,RP,7593,lylesjo01
Sergio Romo,36,RP,9817,romose01
Jake Diekman,32,RP,5003,diekmja01
Justin Wilson,31,RP,4301,wilsoju10
Tyler Clippard,34,RP,5640,clippty01
Shawn Kelley,35,RP,7773,kellesh01
Andrew Miller,34,RP,6785,millean01
Kelvin Herrera,29,RP,6033,herreke01
Greg Holland,33,RP,7196,hollagr01
Tony Barnette,35,RP,3555,barneto01
Aaron Loup,31,RP,10343,loupaa01
Adam Warren,31,RP,9029,warread01
John Axford,36,RP,9059,axforjo01
Bud Norris,34,RP,9492,norribu01
Ryan Madson,38,RP,1852,madsory01
Dan Jennings,31,RP,8073,jennida01
Alex Wilson,32,RP,9239,wilsoal01
Zack Britton,31,RP,3240,brittza01
Santiago Casilla,38,RP,2873,garcija01
Carson Smith,29,RP,13172,smithca02
Cory Gearrin,32,RP,7947,gearrco01
Cody Allen,30,RP,12183,allenco01
Jorge De La Rosa,38,RP,2047,rosajo01
Justin Hancock,28,RP,12316,hancoju01
Fernando Salas,34,RP,4971,salasfe01
Zach McAllister,31,RP,2895,mcallza01
Jake Petricka,31,RP,10534,petrija01
Blake Parker,31,RP,5224,parkebl01
Zac Rosscup,31,RP,9419,rosscza01
Blake Wood,33,RP,1345,woodbl01
Daniel Hudson,32,RP,7146,hudsoda01
Jerry Blevins,35,RP,7841,blevije01
Brad Boxberger,30,RP,10133,boxbebr01
Matt Bush,32,RP,1246,bushma01
Adrian Sampson,27,RP,13339,sampsad01
Allen Webster,28,RP,3993,webstal01
Zac Curtis,26,RP,16684,curtiza01
Hunter Strickland,30,RP,7836,strichu01
Matt Belisle,39,RP,1837,belisma01
AJ Ramos,32,RP,8350,ramosaj01
Jim Johnson,36,RP,3656,johnsji04
Randall Delgado,29,RP,5985,delgara01
Marc Rzepczynski,33,RP,6612,rzepcma01
Boone Logan,34,RP,5525,loganbo02
Peter Moylan,40,RP,4891,moylape01
Tim Collins,29,RP,3164,colliti01
