mlbId,LastName,firstInitial
460060,Pennington, C
592761,Smith, C
596012,Kramer, K
519299,Sogard, E
592230,Cowart, K
453562,Arrieta, J
458675,Rasmus, C
408252,Phillips, B
519295,Smolinski, J
592789,Syndergaard, N
608331,Fried, M
594838,Gosselin, P
642770,Guerra, J
606992,Haase, E
571760,Heaney, A
647336,Soroka, M
544931,Strasburg, S
430935,Hamels, C
452657,Lester, J
502042,Archer, C
666969,Garcia, J
572204,Thompson, T
592866,Williams, T
456701,Bailey, H
452104,Headley, C
572180,Susac, A
448855,Guerra, J
608348,Kelly, C
543135,Eovaldi, N
554054,Gonzalez, A
605357,Marjama, M
571951,Mitchell, B
594965,Ponce de Leon, D
596143,Sardinas, L
571927,Matz, S
641477,Cordell, R
546990,Alford, A
641816,Mahle, T
435221,McCarthy, B
518466,Blash, J
622491,Castillo, L
542881,Anderson, T
601713,Pivetta, N
502188,Samardzija, J
657053,Toussaint, T
595222,Gerber, M
644337,Orf, N
453385,Richard, C
628317,Maeda, K
605446,Rodriguez, D
643565,Tauchman, M
448179,Hill, R
607536,Freeland, K
621107,Eflin, Z
545337,Fontana, N
571841,Kelly, T
607625,Lugo, S
543557,Montgomery, M
456030,Pedroia, D
548389,Stripling, R
425794,Wainwright, A
502624,Anderson, C
518452,Bettis, C
592468,Kingham, N
506433,Darvish, Y
547004,Ruiz, R
622608,Senzatela, A
608379,Wacha, M
461829,Gonzalez, G
592351,Gray, J
500779,Quintana, J
592662,Ray, R
518774,Harvey, M
592791,Taillon, J
605200,Davies, Z
543294,Hendricks, K
641778,Lauer, E
453329,Buchholz, C
607231,Gant, J
670950,Richards, T
605498,Suarez, A
607200,Fedde, E
476451,Hellickson, J
571863,Koch, M
664192,Lucchesi, J
605520,Walding, M
643327,Godley, Z
502706,Holland, D
547912,Ngoepe, G
607219,Romano, S
592314,Foltynewicz, M
605400,Nola, A
592332,Gausman, K
622072,Wood, A
656794,Newcomb, S
570632,Urena, J
642547,Peralta, F
621389,Blach, T
434671,Sanchez, A
467100,Nova, I
645261,Alcantara, S
518397,Alexander, S
622075,Almonte, Y
623454,Anderson, D
664196,Anderson, T
542882,Andriese, M
606157,Aquino, A
501593,Avilan, L
520980,Baez, P
642545,Barria, J
641341,Bashlor, T
545333,Bauer, T
571473,Baumann, B
622441,Bautista, R
571476,Beck, C
595881,Beede, T
656222,Beeks, J
621244,Berrios, J
476454,Betances, D
621112,Blackburn, P
621199,Bowman, M
571510,Boyd, M
605154,Brebbia, J
592169,Brice, A
572750,Butler, E
641438,Carle, S
488768,Cashner, A
650895,Castillo, D
620454,Castillo, J
570666,Cessa, L
608638,Chargois, J
445926,Chavez, J
630023,Chirinos, Y
643256,Cimber, A
605182,Clevinger, M
543031,Cloyd, T
543037,Cole, G
112526,Colon, B
542289,Corcino, D
592229,Covey, D
456501,Cueto, J
656354,Davis, A
407822,De La Rosa, J
660853,De Los Santos, E
544925,den Dekker, M
622554,Dominguez, S
488846,Duensing, B
518633,Duffy, D
435043,Duke, Z
595191,Eickhoff, J
462136,Estrada, M
608652,Farrell, L
593140,Feliz, M
605232,Finnegan, B
571670,Floro, D
543169,Flynn, B
545338,Franklin, N
518693,Freeman, S
605242,Fulmer, M
543193,Gagnon, D
502570,Gale, R
451596,Gallardo, Y
606149,Gallegos, G
448802,Garcia, J
606424,Garcia, J
607237,Garrett, A
593334,German, D
608337,Giolito, L
607192,Glasnow, T
627894,Gohara, L
596816,Gomez, R
594835,Gonzales, M
605255,Graves, B
543243,Gray, S
607229,Gsellman, R
434628,Hammel, J
606995,Hancock, J
543272,Hand, B
592390,Hembree, H
456696,Hernandez, D
622694,Hernandez, E
433587,Hernandez, F
605276,Hess, D
663855,Hicks, J
657612,Hill, T
673633,Hirano, Y
605280,Holmes, C
641712,Hudson, D
543339,Hudson, D
461833,Hughes, P
488984,Hunter, T
628452,Iglesias, R
429719,Jackson, E
592426,Jackson, L
572955,Johnson, P
582473,Johnson, S
596001,Junis, J
664842,Kaczmarski, K
518875,Kelley, S
543391,Kelly, C
664028,Kennedy, B
572971,Keuchel, D
445213,Kintzler, B
552640,Kittredge, A
446372,Kluber, C
502190,Leake, M
643410,Leiter Jr., M
571893,Liberatore, A
434538,Liriano, F
594902,Lively, B
642528,Loaisiga, J
621141,Lockett, W
625643,Lopez, R
543475,Lyles, J
458681,Lynn, L
543483,Magill, M
628318,Makita, K
594577,Mayers, M
621121,McCullers Jr., L
519008,McFarland, T
641851,McGowin, K
657681,McGrath, K
656725,McRae, A
450665,Medlen, K
606167,Mejia, A
622492,Mella, K
622795,Mendez, Y
656738,Meyer, B
453192,Miller, A
502522,Miller, J
571946,Miller, S
543548,Milone, T
593423,Montas, F
471083,Montero, M
606625,Moronta, R
453344,Morrow, B
643466,Musgrave, H
593576,Neris, H
656798,Nix, J
596057,Norris, D
656803,Norwood, J
543606,Odorizzi, J
621261,Oswalt, C
641149,Parsons, W
502748,Peacock, B
570240,Pena, F
593974,Peralta, W
527048,Perez, M
640460,Peterson, D
623402,Peterson, T
502593,Petricka, J
541640,Ramirez, E
519166,Ramirez, N
606162,Ramirez, Y
607223,Reed, A
642003,Reed, C
656887,Reid-Foley, S
621052,Reyes, A
642008,Rhame, J
605441,Rios, Y
570663,Robles, H
593958,Rodriguez, E
593144,Rodriguez, R
622864,Romero, F
489265,Romo, S
605452,Ross, J
607968,Rucinski, D
594987,Sadler, C
477569,Salas, F
519242,Sale, C
457454,Saltalamacchia, J
592717,Sanchez, A
502327,Santiago, H
599683,Saupold, W
644428,Scribner, T
622663,Severino, L
623149,Sewald, P
594992,Shackelford, K
640463,Shipley, B
592741,Shreve, C
608371,Sims, L
607215,Skoglund, E
605483,Snell, B
592769,Snelten, D
624641,Sosa, E
623451,Stephens, J
596112,Stephenson, R
592779,Stewart, B
621381,Strahm, M
467008,Strop, P
593833,Suero, W
572182,Sweeney, D
547888,Tanaka, M
622097,Thompson, J
605513,Turnbull, S
621249,Underwood Jr., D
628711,Urias, J
553878,Vazquez, F
584171,Velazquez, H
572403,VerHagen, D
608723,Voth, A
592836,Walker, T
643778,Webb, T
543901,Weber, R
658792,Wilkerson, A
642211,Williams, J
669060,Wilson, B
458677,Wilson, J
595465,Winkler, D
605538,Wisler, M
431151,Wright, D
605541,Wright, Jr., M
642232,Yarbrough, R
